Países,Fecha,Incremento Muertos,Muertos,Muertos / millón,Incremento Confirmados,Confirmados,Confirmados / 100.000 - 14 días
España [+],19/07/2023,0,121.852,"2.518,58",0.0,13.980.340,0
Alemania [+],04/08/2024,0,174.979,"2.096,94",0.0,38.437.756,0
Reino Unido [+],04/08/2024,0,232.112,"3.460,18",3.4,24.974.629,1123
Francia [+],04/08/2024,0,168.091,"2.457,40",0.0,38.997.490,0
Italia [+],04/08/2024,6,197.307,"3.344,77",6.35,26.781.078,3734
Portugal [+],04/08/2024,50,28.809,"2.707,68",1.055,5.664.109,2329
Estados Unidos [+],04/08/2024,619,1.193.165,"3.560,25",0.0,103.436.829,0
Japón [+],04/08/2024,0,74.694,60004,0.0,33.803.572,0
China [+],04/08/2024,15,122.304,8676,2.087,99.373.219,30
Andorra [+],04/08/2024,0,159,"1.868,37",0.0,48.015,0
Emiratos Árabes Unidos [+],04/08/2024,0,2.349,21994,0.0,1.067.030,0
Afganistán [+],04/08/2024,0,7.998,18966,0.0,235.214,0
Antigua y Barbuda [+],04/08/2024,0,146,"1.445,54",0.0,9.106,0
Albania [+],04/08/2024,0,3.605,"1.305,32",0.0,335.047,0
Armenia [+],04/08/2024,0,8.777,"2.934,27",0.0,452.273,0
Angola [+],04/08/2024,0,1.937,5614,0.0,107.481,0
Argentina [+],04/08/2024,1,130.663,"2.852,36",54.0,10.101.218,30
Austria [+],04/08/2024,0,22.534,"2.460,38",15.0,6.082.444,33
Australia [+],04/08/2024,0,25.236,95896,0.0,11.861.161,0
Azerbaiyán [+],04/08/2024,0,10.353,"1.016,92",63.0,835.757,119
Bosnia y Herzegovina [+],04/08/2024,0,16.392,"4.797,07",0.0,403.666,12
Barbados [+],04/08/2024,0,593,"2.108,82",57.0,108.582,3876
Bangladés [+],04/08/2024,0,29.499,17418,40.0,2.051.348,4
Bélgica [+],04/08/2024,0,34.339,"2.902,20",1.277,4.872.829,2257
Burkina Faso [+],04/08/2024,0,400,1709,0.0,22.139,0
Bulgaria [+],04/08/2024,0,38.700,"6.004,21",257.0,1.329.988,621
Baréin [+],04/08/2024,0,1.536,97400,0.0,696.614,0
Burundi [+],04/08/2024,0,15,123,0.0,54.569,0
Benin [+],04/08/2024,0,163,1187,0.0,28.036,0
Brunéi [+],04/08/2024,1,179,39690,288.0,347.723,14501
Bolivia [+],04/08/2024,0,22.387,"1.853,31",2.0,1.212.147,2
Brasil [+],04/08/2024,0,702.116,"3.316,64",0.0,37.511.921,0
